# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
1,	1.9961 1 is left, 0 is right, 5 is blink
0,	3.6937
5,	5.3823
1,	6.6889
0,	8.4206
5,	9.7725
1,	11.1635
0,	12.4188
5,	13.8652
1,	14.9547
0,	16.3296
5,	17.4744
1,	18.9067
1,	19.9781
1,	21.3259
1,	22.5762
1,	23.8728
1,	25.2055
1,	26.4297
1,	27.9414
1,	29.4952
0,	30.6179
0,	31.9466
0,	33.2020
0,	34.4865
0,	35.7589
0,	37.0333
0,	38.2927
5,	39.7541
5,	40.9783
5,	42.1693
5,	43.3694
5,	44.6247
5,	45.8198
5,	47.1435
5,	48.2903
5,	49.5084
1,	50.7668
0,	51.9950
1,	53.6212
0,	54.8665
1,	55.8927
1,	57.0707
1,	58.3210
1,	59.6206
5,	60.9332
5,	62.2338
5,	63.5555
5,	64.8480
5,	66.1516
0,	67.3607
0,	68.6593
0,	69.9559
0,	71.1750
0,	72.4877
5,	73.7933
